,Country,World Economic Forum EOS,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,Bertelsmann Foundation Sustainable Governance Index,World Justice Project Rule of Law Index,PRS International Country Risk Guide,Economist Intelligence Unit Country Ratings
0,New Zealand,90.0,83,95.0,99.0,79.0,93.0,90.0
1,Denmark,85.0,83,98.0,99.0,85.0,93.0,90.0
2,Finland,91.0,83,94.0,90.0,85.0,93.0,90.0
3,Sweden,86.0,83,86.0,90.0,85.0,93.0,90.0
4,Switzerland,80.0,83,88.0,90.0,,85.0,90.0
5,Norway,80.0,83,83.0,80.0,84.0,93.0,90.0
6,Singapore,88.0,83,91.0,,85.0,76.0,90.0
7,Netherlands,82.0,83,89.0,71.0,82.0,85.0,90.0
8,Canada,73.0,83,85.0,80.0,79.0,85.0,90.0
9,Germany,67.0,83,85.0,80.0,79.0,85.0,90.0
10,Luxembourg,85.0,83,81.0,80.0,,85.0,72.0
11,United Kingdom,80.0,71,80.0,80.0,80.0,85.0,90.0
12,Australia,80.0,83,81.0,80.0,78.0,76.0,72.0
13,Iceland,85.0,83,80.0,61.0,,85.0,72.0
14,Hong Kong,82.0,83,87.0,,77.0,67.0,72.0
15,Belgium,73.0,83,79.0,80.0,74.0,76.0,72.0
16,Austria,73.0,71,74.0,80.0,79.0,76.0,72.0
17,The United States of America,65.0,71,74.0,90.0,72.0,76.0,90.0
18,Ireland,83.0,71,83.0,71.0,,76.0,54.0
19,Japan,78.0,71,74.0,52.0,75.0,76.0,72.0
20,Uruguay,68.0,59,,,72.0,76.0,72.0
21,Estonia,76.0,71,66.0,80.0,70.0,67.0,54.0
22,France,69.0,71,73.0,52.0,69.0,76.0,72.0
23,Bahamas,,59,,,62.0,76.0,
24,Chile,64.0,59,54.0,61.0,65.0,76.0,72.0
25,United Arab Emirates,86.0,47,81.0,,73.0,67.0,54.0
26,Bhutan,59.0,71,,,,,
27,Israel,69.0,59,64.0,61.0,,58.0,72.0
28,Poland,56.0,59,60.0,71.0,66.0,58.0,54.0
29,Portugal,59.0,59,51.0,71.0,68.0,67.0,54.0
30,Barbados,48.0,71,,,65.0,,
31,Taiwan,68.0,71,65.0,,,50.0,54.0
32,Qatar,82.0,47,80.0,,,67.0,72.0
33,Slovenia,58.0,71,46.0,61.0,59.0,58.0,54.0
34,Saint Lucia,,47,,,65.0,,
35,Saint Vincent and The Grenadines,,59,,,63.0,,
36,Botswana,52.0,59,,,55.0,67.0,72.0
37,Dominica,,59,,,61.0,,
38,Cape Verde,49.0,59,,,,,
39,Lithuania,56.0,59,53.0,61.0,,58.0,54.0
40,Costa Rica,46.0,59,,,61.0,50.0,54.0
41,Brunei,61.0,71,,,,41.0,
42,Spain,51.0,59,38.0,61.0,65.0,58.0,72.0
43,Georgia,68.0,47,,,61.0,,
44,Latvia,48.0,59,45.0,71.0,,50.0,54.0
45,Grenada,,47,,,62.0,,
46,Cyprus,49.0,47,,42.0,,67.0,72.0
47,Czech Republic,46.0,59,47.0,52.0,62.0,50.0,54.0
48,Malta,54.0,59,,52.0,,58.0,54.0
49,Mauritius,53.0,59,,,,,54.0
50,Rwanda,76.0,59,,,,,
51,Korea (South),49.0,47,47.0,52.0,69.0,50.0,54.0
52,Namibia,49.0,59,,,,50.0,54.0
53,Slovakia,34.0,59,45.0,52.0,,50.0,54.0
54,Malaysia,56.0,59,52.0,,41.0,41.0,54.0
55,Croatia,39.0,47,38.0,52.0,50.0,50.0,54.0
56,Jordan,60.0,34,53.0,,50.0,50.0,54.0
57,Hungary,43.0,59,37.0,33.0,49.0,50.0,54.0
58,Romania,37.0,59,37.0,52.0,49.0,41.0,37.0
59,Cuba,,47,,,,41.0,54.0
60,Italy,47.0,59,39.0,52.0,57.0,41.0,37.0
61,Saudi Arabia,66.0,22,,,,50.0,54.0
62,Sao Tome and Principe,,47,,,,,
63,Suriname,,34,,,47.0,32.0,
64,Montenegro,39.0,47,,,,,
65,Oman,67.0,47,,,,50.0,37.0
66,Senegal,36.0,47,,,43.0,32.0,54.0
67,South Africa,49.0,47,33.0,,47.0,41.0,54.0
68,Greece,42.0,47,37.0,52.0,53.0,41.0,37.0
69,Bahrain,66.0,34,,,,41.0,37.0
70,Ghana,30.0,34,,,35.0,50.0,54.0
71,Solomon Islands,,47,,,,,
72,Serbia,39.0,47,,,32.0,32.0,37.0
73,Burkina Faso,,47,,,34.0,41.0,
74,Turkey,49.0,47,46.0,33.0,39.0,41.0,37.0
75,Kuwait,43.0,34,,,,50.0,37.0
76,Tunisia,37.0,47,,,37.0,41.0,37.0
77,Bulgaria,38.0,34,37.0,42.0,38.0,42.0,37.0
78,Brazil,28.0,47,25.0,,37.0,32.0,37.0
79,China,53.0,47,42.0,,37.0,32.0,37.0
80,India,54.0,34,39.0,,34.0,41.0,37.0
81,Belarus,,47,,,56.0,32.0,37.0
82,Jamaica,41.0,34,,,47.0,41.0,37.0
83,Albania,41.0,47,,,30.0,41.0,37.0
84,Bosnia and Herzegovina,34.0,47,,,37.0,,37.0
85,Lesotho,20.0,59,,,,,
86,Panama,43.0,47,,,33.0,32.0,37.0
87,Mongolia,38.0,47,35.0,,38.0,32.0,37.0
88,Zambia,31.0,34,,,39.0,41.0,37.0
89,Colombia,32.0,47,28.0,,37.0,41.0,37.0
90,Indonesia,40.0,34,39.0,,26.0,50.0,37.0
91,The FYR of Macedonia,54.0,34,,,42.0,,19.0
92,Morocco,42.0,34,,,37.0,41.0,37.0
93,Liberia,45.0,34,,,19.0,41.0,
94,Argentina,29.0,34,37.0,,46.0,32.0,37.0
95,El Salvador,32.0,22,,,34.0,41.0,37.0
96,Maldives,,47,,,,,
97,Sri Lanka,41.0,34,,,38.0,41.0,37.0
98,Kosovo,,47,,,,,
99,Benin,20.0,34,,,,,
100,Peru,39.0,34,29.0,,30.0,34.0,37.0
101,Trinidad and Tobago,29.0,34,,,43.0,32.0,37.0
102,Philippines,29.0,34,31.0,,31.0,41.0,37.0
103,Thailand,37.0,22,44.0,,37.0,32.0,37.0
104,Timor-Leste,,34,,,,,
105,Gabon,36.0,34,,,,32.0,37.0
106,Niger,,34,,,,24.0,
107,Guyana,25.0,34,,,40.0,25.0,
108,Algeria,33.0,22,,,,32.0,37.0
109,Egypt,42.0,22,,,37.0,32.0,37.0
110,Côte d’Ivoire,32.0,47,,,30.0,32.0,37.0
111,Ethiopia,37.0,34,,,33.0,32.0,37.0
112,Bolivia,18.0,34,,,25.0,32.0,37.0
113,Vietnam,34.0,34,,,40.0,41.0,19.0
114,Armenia,45.0,34,,,,32.0,
115,Pakistan,29.0,34,,,32.0,32.0,37.0
116,Mali,24.0,34,,,,32.0,
117,Tanzania,27.0,22,,,27.0,32.0,37.0
118,Togo,,47,,,,32.0,
119,Dominican Republic,24.0,34,,,27.0,32.0,37.0
120,Ecuador,33.0,22,,,32.0,32.0,37.0
121,Malawi,27.0,34,,,32.0,32.0,19.0
122,Honduras,26.0,22,,,27.0,41.0,19.0
123,Mexico,29.0,34,32.0,33.0,26.0,24.0,37.0
124,Paraguay,23.0,22,,,,32.0,37.0
125,Laos,45.0,34,,,,,
126,Azerbaijan,46.0,47,,,,24.0,37.0
127,Moldova,23.0,34,,,26.0,32.0,37.0
128,Djibouti,,47,,,,,
129,Sierra Leone,19.0,34,,,23.0,32.0,19.0
130,Nepal,26.0,34,,,31.0,,
131,Kazakhstan,45.0,34,41.0,,32.0,24.0,19.0
132,Russia,38.0,34,41.0,,32.0,24.0,19.0
133,Ukraine,27.0,34,29.0,,32.0,24.0,19.0
134,Iran,34.0,34,,,35.0,24.0,19.0
135,Guatemala,35.0,22,,,27.0,32.0,19.0
136,Myanmar,23.0,22,,,27.0,24.0,19.0
137,Papua New Guinea,,22,,,,32.0,19.0
138,Kyrgyzstan,23.0,22,,,29.0,,
139,Lebanon,23.0,22,,,30.0,32.0,37.0
140,Nigeria,20.0,22,,,26.0,24.0,37.0
141,Guinea,,22,,,,24.0,
142,Mauritania,15.0,22,,,,,
143,Mozambique,25.0,22,,,,32.0,37.0
144,Nicaragua,28.0,22,,,26.0,24.0,19.0
145,Bangladesh,17.0,22,,,25.0,50.0,19.0
146,Cameroon,22.0,34,,,19.0,32.0,19.0
147,Gambia,44.0,34,,,,32.0,
148,Kenya,30.0,22,,,21.0,24.0,19.0
149,Madagascar,19.0,34,,,23.0,32.0,
150,Tajikistan,48.0,22,,,,,
151,Uganda,27.0,22,,,21.0,24.0,37.0
152,Comoros,,47,,,,,
153,Turkmenistan,,22,,,,,19.0
154,Zimbabwe,30.0,22,,,24.0,15.0,37.0
155,Cambodia,28.0,22,,,15.0,,19.0
156,Uzbekistan,,22,,,32.0,,19.0
157,The Democratic Republic of Congo,20.0,22,,,,24.0,19.0
158,Haiti,20.0,22,,,,15.0,
159,Burundi,24.0,22,,,,,
160,Central African Republic,,10,,,,,
161,Chad,10.0,22,,,,,
162,Republic of Congo,,22,,,,24.0,19.0
163,Angola,,22,,,,15.0,19.0
164,Eritrea,,34,,,,,
165,Venezuela,13.0,22,21.0,,14.0,15.0,19.0
166,Iraq,,10,,,,15.0,19.0
167,Guinea-Bissau,,22,,,,15.0,
168,Afghanistan,,10,,,13.0,,
169,Libya,,10,,,,15.0,19.0
170,Yemen,12.0,10,,,,15.0,19.0
171,Sudan,,22,,,,6.0,19.0
172,Syria,,10,,,,15.0,19.0
173,Korea (North),,10,,,,15.0,
174,South Sudan,,10,,,,,
175,Somalia,,10,,,,15.0,
