,Country,Region,CPI_2012,CPI_2013,CPI_2014,CPI_2015,CPI_2016,CPI_2017,World Economic Forum EOS,Global Insight Country Risk Ratings,PRS International Country Risk Guide,recycling_%_waste,plastic_%_waste,hazardous_waste_norm,e_waste_norm,total_municipal_solid_waste_norm,national_agency_solid_waste_management,national_law_solid_waste_management,CO2_capita_2012,CO2_capita_2013,CO2_capita_2014,CO2_capita_2015,CO2_capita_2016,CO2_capita_2017,SDI_2012,SDI_2013,SDI_2014,SDI_2015,SDI_2016,SDI_2017,gender_eq_2012,gender_eq_2013,gender_eq_2014,gender_eq_2015,gender_eq_2016,gender_eq_2017,hdi_2012,hdi_2013,hdi_2014,hdi_2015,hdi_2016,hdi_2017,2013-2018_hdi_rank_change,2010-2018_hdi_annual_growth,homicide_rate_2012,homicide_rate_2013,homicide_rate_2014,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,gini_index_2012,gini_index_2013,gini_index_2014,gini_index_2015,gini_index_2016,gini_index_2017,income_share_top10%_2012,income_share_top10%_2013,income_share_top10%_2014,income_share_top10%_2015,income_share_top10%_2016,income_share_top10%_2017,moderate_poverty_%_$5.50_2012,moderate_poverty_%_$5.50_2013,moderate_poverty_%_$5.50_2014,moderate_poverty_%_$5.50_2015,moderate_poverty_%_$5.50_2016,moderate_poverty_%_$5.50_2017,extreme_poverty_%_$1.90_2012,extreme_poverty_%_$1.90_2013,extreme_poverty_%_$1.90_2014,extreme_poverty_%_$1.90_2015,extreme_poverty_%_$1.90_2016,extreme_poverty_%_$1.90_2017,gdp_per_capita_2012,gdp_per_capita_2013,gdp_per_capita_2014,gdp_per_capita_2015,gdp_per_capita_2016,gdp_per_capita_2017
33,Thailand,Asia Pacific,37.0,35.0,38.0,38.0,35.0,35.0,37.0,22.0,32.0,0.191,0.176,0.05,0.006,0.391,1.0,1.0,3.613,3.613,3.613,3.613,3.545,3.538,0.727,0.715,0.713,0.712,0.711,0.71,3.286,3.3,3.3,3.3,3.25,3.25,0.724,0.731,0.738,0.746,0.753,0.762,12.0,0.74,4.899,4.247,3.871,3.474,3.232,2.582,39.3,37.8,37.0,36.0,36.9,36.5,30.4,29.2,28.7,28.4,28.9,28.4,13.5,11.3,10.4,7.0,8.2,7.6,0.1,0.0,0.0,0.0,0.0,0.0,5860.583,6168.263,5951.884,5840.047,5994.231,6592.915
34,Timor-Leste,Asia Pacific,33.0,30.0,28.0,28.0,35.0,35.0,49.917,34.0,46.955,0.199,0.165,0.048,0.003,0.05,1.0,1.0,4.197,4.197,4.197,4.197,4.21,4.255,0.573,0.57,0.571,0.57,0.57,0.569,3.5,3.5,3.5,3.5,3.5,3.5,0.605,0.613,0.62,0.628,0.628,0.624,-2.0,0.13,4.096,4.096,4.096,4.096,4.096,4.096,28.7,28.7,28.7,28.7,28.7,28.7,24.0,24.0,24.0,24.0,24.0,24.0,91.8,91.8,91.8,91.8,91.8,91.8,22.0,22.0,22.0,22.0,22.0,22.0,1013.05,1210.033,1232.457,1334.662,1358.202,1294.716
35,Albania,Europe and Central Asia,33.0,31.0,33.0,36.0,39.0,39.0,41.0,47.0,41.0,0.213,0.096,0.002,0.007,0.397,1.0,1.0,1.328,1.328,1.328,1.328,1.278,1.511,0.813,0.814,0.812,0.811,0.81,0.809,4.25,4.188,4.0,4.1,4.1,4.1,0.778,0.781,0.784,0.788,0.788,0.789,-5.0,0.84,5.388,4.27,4.04,2.214,2.737,2.011,29.0,29.0,34.6,32.9,33.7,33.2,22.9,24.2,25.5,24.9,25.0,24.8,34.5,35.75,37.0,34.2,34.2,33.8,0.8,1.2,1.6,1.1,0.9,1.3,4247.63,4413.061,4578.632,3952.801,4124.056,4531.021
36,Armenia,Europe and Central Asia,34.0,36.0,37.0,35.0,33.0,33.0,45.0,34.0,32.0,0.213,0.114,0.021,0.005,0.17,0.0,1.0,1.612,1.612,1.612,1.612,1.652,1.763,0.793,0.797,0.799,0.8,0.801,0.802,4.5,4.5,4.5,4.5,4.5,4.5,0.74,0.743,0.746,0.748,0.751,0.758,3.0,0.52,2.254,2.174,2.472,2.564,2.963,2.377,29.6,30.6,31.5,32.4,32.5,33.6,24.5,24.7,25.7,26.7,25.3,28.4,48.3,46.1,44.9,39.8,37.5,41.5,0.9,1.8,1.5,1.3,1.2,0.9,3681.857,3838.186,3986.232,3607.297,3591.829,3914.501
37,Austria,Europe and Central Asia,69.0,69.0,72.0,76.0,75.0,75.0,73.0,71.0,76.0,0.257,0.111,0.147,0.019,0.56,1.0,1.0,7.21,7.21,7.21,7.21,7.099,7.376,0.281,0.271,0.267,0.258,0.249,0.24,4.25,4.188,4.0,4.1,4.1,4.1,0.891,0.896,0.901,0.906,0.909,0.912,0.0,0.26,0.929,0.725,0.522,0.53,0.652,0.794,30.5,30.8,30.5,30.5,30.8,29.7,23.5,24.3,24.1,23.8,23.9,23.0,1.0,0.6,0.7,0.9,1.2,0.7,0.6,0.3,0.2,0.7,0.7,0.3,48567.695,50716.709,51717.496,44178.047,45237.805,47549.079
38,Belarus,Europe and Central Asia,31.0,29.0,31.0,32.0,40.0,40.0,57.367,47.0,32.0,0.16,0.12,0.141,0.008,0.451,1.0,1.0,5.545,5.545,5.545,5.545,5.584,5.687,0.525,0.52,0.514,0.504,0.494,0.484,4.25,4.188,4.0,4.1,4.1,4.1,0.806,0.808,0.81,0.811,0.812,0.815,0.0,0.39,3.61,3.534,3.605,3.454,3.25,2.54,26.5,26.6,27.2,25.6,25.3,25.4,21.8,22.1,22.6,21.2,21.3,21.3,1.2,0.7,0.4,0.9,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,6940.159,7978.873,8318.513,5949.106,5022.627,5761.747
39,Belgium,Europe and Central Asia,75.0,75.0,76.0,77.0,77.0,77.0,73.0,83.0,76.0,0.343,0.139,0.261,0.054,0.418,1.0,1.0,8.257,8.257,8.257,8.257,8.139,7.963,0.522,0.494,0.475,0.448,0.421,0.394,4.25,4.188,4.0,4.1,4.1,4.1,0.906,0.908,0.911,0.913,0.915,0.917,-1.0,0.22,1.849,1.838,1.871,2.038,1.532,1.69,27.5,27.7,28.1,27.7,27.6,27.4,21.9,21.8,22.4,22.2,22.2,21.9,0.4,0.4,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,44673.116,46744.663,47700.54,40991.808,41998.336,44288.508
40,Bulgaria,Europe and Central Asia,41.0,41.0,43.0,41.0,41.0,41.0,38.0,34.0,42.0,0.19,0.122,1.7,0.007,0.419,1.0,1.0,6.09,6.09,6.09,6.09,5.689,6.051,0.763,0.777,0.767,0.757,0.747,0.737,4.25,4.188,4.0,4.1,4.1,4.1,0.784,0.792,0.8,0.807,0.812,0.813,6.0,0.58,1.923,1.495,1.573,1.75,1.105,1.45,36.0,36.6,37.4,38.6,40.6,40.4,27.4,27.6,28.8,28.7,31.4,31.9,11.6,11.5,9.1,12.4,9.4,7.9,2.2,1.8,1.6,3.4,1.9,1.4,7393.189,7651.818,7874.261,7053.604,7545.79,8331.058
41,Croatia,Europe and Central Asia,46.0,48.0,48.0,51.0,49.0,49.0,39.0,47.0,50.0,0.163,0.229,0.031,0.014,0.393,1.0,1.0,3.69,3.69,3.69,3.69,3.799,3.925,0.746,0.734,0.722,0.701,0.68,0.659,4.25,4.188,4.0,4.1,4.1,4.1,0.822,0.825,0.827,0.83,0.832,0.835,-1.0,0.41,1.187,1.076,0.846,0.874,1.045,1.1,32.5,32.0,32.1,31.1,30.9,30.4,23.9,23.7,24.0,23.2,23.2,22.8,6.8,6.7,5.8,5.0,4.1,3.6,0.8,0.7,1.0,0.6,0.6,0.5,13238.102,13642.194,13600.194,11782.899,12360.484,13412.338
42,Cyprus,Europe and Central Asia,66.0,63.0,63.0,61.0,55.0,55.0,49.0,47.0,67.0,0.133,0.148,0.149,0.016,0.466,1.0,1.0,6.967,6.967,6.967,6.967,7.393,7.448,0.338,0.376,0.361,0.347,0.333,0.319,4.25,4.188,4.0,4.1,4.1,4.1,0.849,0.854,0.859,0.864,0.869,0.871,2.0,0.34,1.938,1.049,0.955,1.292,1.111,0.593,34.3,37.0,35.6,34.0,32.9,31.4,28.0,30.9,28.8,27.5,26.8,25.5,0.1,0.2,0.3,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,28912.157,27729.193,27129.626,23333.715,24532.519,26338.694
43,Czech Republic,Europe and Central Asia,49.0,48.0,51.0,56.0,55.0,55.0,46.0,59.0,50.0,0.255,0.022,0.11,0.008,0.316,1.0,1.0,9.43,9.43,9.43,9.43,9.575,9.602,0.412,0.427,0.41,0.39,0.37,0.35,4.25,4.188,4.0,4.1,4.1,4.1,0.87,0.874,0.878,0.882,0.885,0.888,1.0,0.41,0.992,0.85,0.765,0.83,0.612,0.62,26.1,26.5,25.9,25.9,25.4,24.9,22.2,22.6,22.1,22.1,21.9,21.5,0.6,0.5,0.6,0.3,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,19729.871,19916.019,19744.559,17715.617,18463.387,20379.896
44,Denmark,Europe and Central Asia,90.0,91.0,92.0,91.0,90.0,90.0,85.0,83.0,93.0,0.273,0.016,0.302,0.03,0.789,1.0,1.0,5.623,5.623,5.623,5.623,5.845,5.421,0.382,0.366,0.363,0.363,0.363,0.363,4.25,4.188,4.0,4.1,4.1,4.1,0.926,0.926,0.926,0.926,0.928,0.929,-6.0,0.27,0.838,0.851,1.306,1.09,0.981,1.239,27.8,28.5,28.4,28.2,28.2,28.7,23.1,23.7,23.6,23.8,23.7,24.0,0.2,0.6,0.7,0.4,0.4,0.2,0.0,0.3,0.2,0.2,0.3,0.1,58507.508,61191.194,62548.985,53254.856,54663.998,57141.06
45,Estonia,Europe and Central Asia,64.0,68.0,69.0,70.0,70.0,70.0,76.0,71.0,67.0,0.247,0.186,7.914,0.026,0.36,1.0,1.0,11.537,11.537,11.537,11.537,11.748,12.137,0.259,0.22,0.214,0.209,0.204,0.199,4.25,4.188,4.0,4.1,4.1,4.1,0.859,0.863,0.867,0.871,0.875,0.879,-1.0,0.54,4.761,3.942,3.115,3.421,2.507,2.198,32.9,35.1,34.6,32.7,31.2,30.4,25.2,26.6,26.3,24.4,23.1,22.5,3.5,3.5,3.0,1.8,1.4,1.0,0.7,0.8,0.7,0.6,0.5,0.3,17534.422,19174.101,20367.103,17522.23,18237.296,20388.21
46,Finland,Europe and Central Asia,90.0,89.0,89.0,90.0,89.0,89.0,91.0,83.0,93.0,0.281,0.014,0.365,0.039,0.5,1.0,1.0,7.73,7.73,7.73,7.73,8.212,7.734,0.234,0.225,0.227,0.227,0.227,0.227,4.25,4.188,4.0,4.1,4.1,4.1,0.915,0.916,0.918,0.919,0.922,0.924,-2.0,0.3,1.625,1.636,1.611,1.496,1.346,1.252,27.1,27.2,26.8,27.1,27.1,27.4,22.3,22.3,22.0,22.4,22.4,22.6,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.1,47710.79,49878.043,50260.3,42784.698,43784.284,46316.745
47,France,Europe and Central Asia,71.0,71.0,69.0,70.0,69.0,69.0,69.0,71.0,76.0,0.223,0.09,0.162,0.033,0.501,1.0,1.0,4.5,4.5,4.5,4.5,4.515,4.565,0.588,0.57,0.571,0.549,0.527,0.505,4.25,4.188,4.0,4.1,4.1,4.1,0.879,0.882,0.885,0.888,0.887,0.89,-1.0,0.27,1.233,1.216,1.234,1.57,1.352,1.271,33.1,32.5,32.3,32.7,31.9,31.6,26.9,26.4,26.1,26.6,25.9,25.8,0.3,0.2,0.1,0.3,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.0,40874.704,42592.934,43011.263,36638.185,37037.374,38812.161
48,Georgia,Europe and Central Asia,52.0,49.0,52.0,52.0,57.0,57.0,68.0,47.0,60.295,0.213,0.03,0.566,0.006,0.215,0.0,1.0,2.255,2.255,2.255,2.255,2.369,2.346,0.789,0.793,0.799,0.801,0.803,0.805,4.5,4.5,4.5,4.5,4.5,4.5,0.748,0.756,0.764,0.771,0.776,0.783,5.0,0.91,2.676,2.676,2.676,2.676,0.971,0.971,39.0,38.6,37.6,36.5,36.6,37.9,29.3,29.1,28.6,27.8,28.2,28.9,54.9,49.5,45.7,44.8,43.3,43.0,8.5,6.4,4.9,3.7,3.8,5.0,4421.818,4623.746,4739.188,4014.186,4062.17,4357.001
49,Germany,Europe and Central Asia,79.0,78.0,79.0,81.0,81.0,81.0,67.0,83.0,85.0,0.478,0.13,0.267,0.03,0.625,1.0,1.0,8.933,8.933,8.933,8.933,8.919,8.696,0.475,0.442,0.426,0.408,0.39,0.372,4.25,4.188,4.0,4.1,4.1,4.1,0.924,0.927,0.93,0.933,0.936,0.938,0.0,0.25,0.814,0.84,0.879,0.834,1.172,0.984,31.1,31.1,31.1,31.7,31.9,31.9,24.6,24.6,24.7,24.8,24.6,24.6,0.2,0.2,0.2,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,43858.363,46285.764,47959.993,41139.545,42098.92,44349.59
50,Greece,Europe and Central Asia,36.0,40.0,43.0,46.0,44.0,44.0,42.0,47.0,41.0,0.19,0.14,0.02,0.017,0.503,1.0,1.0,5.965,5.965,5.965,5.965,5.853,5.878,0.316,0.343,0.339,0.332,0.325,0.318,4.25,4.188,4.0,4.1,4.1,4.1,0.853,0.858,0.863,0.868,0.866,0.871,-1.0,0.22,1.54,1.425,1.0,0.872,0.791,0.814,36.3,36.1,35.8,36.0,35.0,34.4,26.6,26.4,26.1,26.2,25.9,25.9,6.3,7.1,7.1,7.0,5.6,4.7,1.5,1.0,1.5,1.4,1.1,0.9,22242.682,21874.82,21760.98,18167.774,18116.46,18930.219
51,Hungary,Europe and Central Asia,55.0,54.0,54.0,51.0,48.0,48.0,43.0,59.0,50.0,0.259,0.13,0.061,0.005,0.377,1.0,1.0,4.339,4.339,4.339,4.339,4.461,4.678,0.783,0.776,0.754,0.739,0.724,0.709,4.25,4.188,4.0,4.1,4.1,4.1,0.835,0.835,0.835,0.835,0.838,0.841,-1.0,0.28,1.257,1.566,1.489,2.26,2.071,2.487,30.8,31.5,30.9,30.4,30.3,30.6,23.9,24.4,24.0,23.8,23.8,23.9,4.3,4.3,3.1,2.7,2.6,3.0,0.3,0.1,0.6,0.6,1.3,0.6,12918.248,13687.246,14246.11,12651.568,12992.376,14457.609
52,Iceland,Europe and Central Asia,82.0,78.0,79.0,79.0,78.0,78.0,85.0,83.0,85.0,0.558,0.09,0.021,0.023,1.587,1.0,1.0,6.216,6.216,6.216,6.216,6.164,6.336,0.253,0.242,0.238,0.233,0.228,0.223,4.25,4.188,4.0,4.1,4.1,4.1,0.917,0.92,0.924,0.927,0.932,0.935,3.0,0.64,0.307,0.306,0.609,0.908,0.301,0.897,26.8,25.4,27.8,26.8,26.8,26.8,22.1,21.3,23.5,22.5,22.5,22.5,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,45910.021,49522.237,54241.935,52564.429,61466.804,71310.939
53,Ireland,Europe and Central Asia,69.0,72.0,74.0,75.0,73.0,73.0,83.0,71.0,76.0,0.33,0.124,0.105,0.046,0.587,1.0,1.0,7.526,7.526,7.526,7.526,7.762,7.439,0.47,0.456,0.446,0.432,0.418,0.404,4.25,4.188,4.0,4.1,4.1,4.1,0.899,0.908,0.917,0.926,0.936,0.939,13.0,0.71,1.128,1.105,1.124,0.666,0.788,0.863,33.2,33.5,31.9,31.8,32.8,32.8,25.9,26.1,24.9,25.4,25.9,25.9,0.9,1.4,0.9,0.8,0.7,0.7,0.2,0.7,0.4,0.3,0.1,0.1,48917.898,51590.188,55492.983,61995.423,63197.082,69822.347
54,Italy,Europe and Central Asia,42.0,43.0,43.0,44.0,47.0,47.0,47.0,59.0,41.0,0.259,0.116,0.147,0.046,0.486,1.0,1.0,5.428,5.428,5.428,5.428,5.371,5.31,0.557,0.583,0.583,0.55,0.517,0.484,4.25,4.188,4.0,4.1,4.1,4.1,0.872,0.873,0.874,0.875,0.878,0.881,-1.0,0.17,0.885,0.834,0.786,0.774,0.659,0.611,35.2,34.9,34.7,35.4,35.2,35.9,26.4,25.9,25.5,25.8,26.0,26.7,2.9,2.8,2.7,3.4,3.2,3.1,1.2,1.4,1.2,1.9,1.6,1.4,35053.526,35549.975,35518.415,30230.226,30939.714,32406.72
55,Kazakhstan,Europe and Central Asia,28.0,26.0,29.0,28.0,29.0,29.0,45.0,34.0,24.0,0.029,0.25,0.566,0.009,0.278,1.0,1.0,14.009,14.009,14.009,14.009,14.327,14.179,0.487,0.41,0.4,0.398,0.396,0.394,4.25,4.188,4.0,4.1,4.1,4.1,0.784,0.791,0.798,0.806,0.808,0.813,9.0,0.84,7.558,6.578,5.225,4.854,4.854,5.061,28.2,27.1,27.0,26.8,27.2,27.5,22.9,22.5,22.6,22.6,22.7,23.0,7.0,4.4,5.0,6.0,9.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,12386.7,13890.632,12807.261,10510.772,7714.842,9247.581
56,Kyrgyz Republic,Europe and Central Asia,24.0,24.0,27.0,28.0,28.0,28.0,23.0,22.0,60.295,0.213,0.116,0.801,0.001,0.187,1.0,1.0,1.661,1.661,1.661,1.661,1.529,1.437,0.696,0.704,0.709,0.712,0.715,0.718,4.5,4.5,4.0,4.5,4.5,4.5,0.654,0.658,0.662,0.666,0.669,0.671,-1.0,0.73,6.76,5.252,5.475,5.118,4.396,4.136,27.4,28.8,26.8,29.0,26.8,27.3,23.1,23.9,22.9,24.8,22.9,23.3,63.5,64.3,60.7,63.9,61.4,60.5,2.5,2.2,0.9,1.8,1.0,1.1,1177.975,1282.437,1279.77,1121.083,1120.667,1242.77
57,Latvia,Europe and Central Asia,49.0,53.0,55.0,55.0,57.0,57.0,48.0,59.0,50.0,0.212,0.077,0.053,0.013,0.433,1.0,1.0,3.463,3.463,3.463,3.463,3.471,3.441,0.661,0.641,0.594,0.567,0.54,0.513,4.25,4.188,4.0,4.1,4.1,4.1,0.83,0.834,0.838,0.842,0.845,0.849,4.0,0.56,3.383,2.445,3.166,3.354,3.495,4.152,35.2,35.5,35.1,34.2,34.3,35.6,26.6,26.8,26.6,26.2,25.8,26.9,7.4,6.0,5.5,3.9,3.6,3.4,1.0,1.1,0.8,0.6,0.6,0.8,13850.643,15041.174,15740.327,13698.938,14153.415,15586.582
58,Lithuania,Europe and Central Asia,54.0,57.0,58.0,61.0,59.0,59.0,56.0,59.0,58.0,0.229,0.102,0.057,0.028,0.448,1.0,1.0,3.632,3.632,3.632,3.632,3.748,3.831,0.372,0.341,0.327,0.31,0.293,0.276,4.25,4.188,4.0,4.1,4.1,4.1,0.832,0.84,0.847,0.855,0.86,0.866,5.0,0.67,6.633,6.58,5.351,5.867,5.295,4.534,35.1,35.3,37.7,37.4,38.4,37.3,26.8,27.1,28.9,28.6,29.6,28.4,5.5,4.9,4.8,4.2,4.5,3.8,0.9,0.7,1.3,0.7,1.3,1.0,14339.288,15702.143,16548.406,14249.115,14999.48,16882.639
59,Luxembourg,Europe and Central Asia,80.0,80.0,82.0,81.0,81.0,81.0,85.0,83.0,85.0,0.284,0.18,0.416,0.013,0.625,1.0,1.0,15.474,15.474,15.474,15.474,14.558,14.458,0.525,0.52,0.514,0.504,0.494,0.484,4.25,4.188,4.0,4.1,4.1,4.1,0.889,0.892,0.896,0.899,0.904,0.908,2.0,0.22,0.0,0.184,0.721,0.882,0.863,0.338,34.3,32.0,31.2,33.8,33.0,34.9,26.4,24.2,24.3,25.4,24.7,25.8,0.3,0.3,0.3,0.6,0.3,0.7,0.0,0.1,0.1,0.3,0.1,0.3,106749.014,113625.133,118823.648,101376.497,104278.391,107627.151
60,Macedonia,Europe and Central Asia,43.0,44.0,45.0,42.0,37.0,37.0,54.0,34.0,60.295,0.002,0.139,0.02,0.001,0.383,1.0,1.0,3.431,3.431,3.431,3.431,3.339,3.572,0.717,0.714,0.713,0.71,0.707,0.704,4.25,4.188,4.0,4.1,4.1,4.1,0.738,0.743,0.748,0.753,0.757,0.758,2.0,0.41,1.398,1.06,1.684,1.202,0.913,1.489,38.1,36.2,35.2,35.6,34.5,34.2,26.5,25.4,24.9,24.8,24.1,23.8,31.2,29.5,26.1,24.7,21.5,19.5,6.9,5.2,4.5,5.5,4.3,4.6,4698.141,5210.676,5468.481,4840.273,5129.159,5430.874
61,Malta,Europe and Central Asia,57.0,56.0,55.0,56.0,55.0,55.0,54.0,59.0,58.0,0.067,0.12,0.085,0.018,0.623,1.0,1.0,3.705,3.705,3.705,3.705,2.976,3.261,0.302,0.413,0.416,0.53,0.644,0.758,4.25,4.188,4.0,4.1,4.1,4.1,0.853,0.861,0.869,0.877,0.881,0.883,2.0,0.55,2.845,1.643,1.395,0.923,1.147,2.055,29.4,28.8,29.0,29.4,29.1,29.2,23.4,23.1,23.3,23.6,23.1,23.3,0.4,0.2,0.1,0.3,0.3,0.3,0.1,0.0,0.0,0.1,0.1,0.2,21916.412,23837.28,26008.828,24002.523,25133.046,27239.07
62,Moldova,Europe and Central Asia,36.0,35.0,35.0,33.0,30.0,30.0,23.0,34.0,32.0,0.153,0.1,0.0,0.002,1.12,1.0,1.0,2.132,2.132,2.132,2.132,2.171,2.12,0.736,0.746,0.75,0.747,0.744,0.741,5.0,4.5,4.5,4.5,4.5,4.5,0.702,0.702,0.702,0.703,0.705,0.709,-3.0,0.56,5.619,4.148,4.296,4.643,4.919,3.473,29.2,28.5,26.8,27.0,26.3,25.9,23.6,23.3,22.1,22.5,22.7,21.7,24.0,19.2,17.9,15.5,15.9,15.8,0.3,0.1,0.0,0.0,0.2,0.1,3045.74,3322.038,3328.801,2732.457,2880.439,3509.693
63,Montenegro,Europe and Central Asia,41.0,44.0,42.0,44.0,45.0,45.0,39.0,47.0,60.295,0.054,0.184,0.006,0.01,0.534,1.0,1.0,3.791,3.791,3.791,3.791,3.397,3.547,0.525,0.52,0.514,0.504,0.494,0.484,4.25,4.188,4.0,4.1,4.1,4.1,0.798,0.801,0.804,0.807,0.809,0.813,1.0,0.36,2.716,1.597,3.192,2.712,4.464,2.39,41.2,39.0,38.8,39.0,39.0,39.0,28.7,27.2,26.9,27.7,27.7,27.7,23.6,20.2,20.5,19.3,19.3,19.3,3.4,3.2,1.7,1.4,1.4,1.4,6586.721,7189.293,7388.148,6517.164,7033.605,7803.411
64,Netherlands,Europe and Central Asia,84.0,83.0,83.0,87.0,83.0,83.0,82.0,83.0,85.0,0.246,0.14,0.285,0.032,0.523,1.0,1.0,9.319,9.319,9.319,9.319,9.28,9.081,0.339,0.332,0.325,0.309,0.293,0.277,4.25,4.188,4.0,4.1,4.1,4.1,0.923,0.924,0.926,0.927,0.929,0.932,-3.0,0.31,0.864,0.742,0.728,0.614,0.554,0.775,27.6,28.1,28.6,28.2,28.2,28.5,22.5,22.8,23.3,23.0,22.9,23.3,0.2,0.2,0.4,0.4,0.3,0.4,0.1,0.1,0.1,0.1,0.0,0.2,50073.006,52184.062,52830.174,45175.232,46007.853,48675.222
65,Norway,Europe and Central Asia,85.0,86.0,86.0,87.0,85.0,85.0,80.0,83.0,93.0,0.262,0.022,0.286,0.029,0.422,1.0,1.0,6.914,6.914,6.914,6.914,6.738,6.587,0.218,0.206,0.202,0.2,0.198,0.196,4.25,4.188,4.0,4.1,4.1,4.1,0.945,0.946,0.947,0.948,0.951,0.953,0.0,0.16,0.539,0.906,0.564,0.462,0.514,0.529,25.7,26.4,26.8,27.5,28.5,27.0,20.9,21.3,21.6,22.3,23.1,21.6,0.2,0.4,0.3,0.3,0.6,0.5,0.1,0.1,0.1,0.1,0.3,0.3,101524.142,102913.451,97019.183,74355.516,70459.183,75496.754
66,Poland,Europe and Central Asia,58.0,60.0,61.0,62.0,62.0,62.0,56.0,59.0,58.0,0.264,0.121,0.044,0.006,0.286,1.0,1.0,7.352,7.352,7.352,7.352,7.63,7.96,0.496,0.495,0.478,0.447,0.416,0.385,4.25,4.188,4.0,4.1,4.1,4.1,0.847,0.851,0.854,0.858,0.864,0.868,2.0,0.54,1.07,0.799,0.753,0.784,0.684,0.756,33.0,33.1,32.8,31.8,31.2,29.7,25.3,25.4,25.2,24.2,24.6,23.5,2.8,2.8,2.7,2.5,1.6,1.3,0.2,0.4,0.3,0.4,0.2,0.3,13145.539,13781.063,14347.915,12572.427,12431.816,13861.309
67,Portugal,Europe and Central Asia,63.0,62.0,63.0,63.0,62.0,62.0,59.0,59.0,67.0,0.162,0.107,0.067,0.016,0.453,1.0,1.0,4.531,4.531,4.531,4.531,4.496,4.928,0.674,0.668,0.658,0.63,0.602,0.574,4.25,4.188,4.0,4.1,4.1,4.1,0.834,0.837,0.84,0.843,0.846,0.848,1.0,0.42,1.159,1.375,0.883,0.964,0.639,0.739,36.0,36.2,35.6,35.5,35.2,33.8,27.8,27.5,27.4,27.3,27.6,26.7,4.4,4.4,3.5,2.8,2.7,1.8,0.7,0.8,0.5,0.5,0.4,0.4,20564.89,21647.042,22074.301,19242.366,19978.401,21490.43
68,Romania,Europe and Central Asia,44.0,43.0,43.0,46.0,48.0,48.0,37.0,59.0,41.0,0.057,0.123,0.03,0.007,0.247,1.0,1.0,3.51,3.51,3.51,3.51,3.45,3.614,0.753,0.748,0.736,0.723,0.71,0.697,4.25,4.188,4.0,4.1,4.1,4.1,0.797,0.8,0.803,0.806,0.808,0.813,2.0,0.29,1.048,1.083,1.622,1.701,1.546,1.297,36.5,36.9,36.0,35.9,34.4,36.0,25.5,25.4,24.5,24.8,23.7,24.9,27.3,27.7,25.5,22.9,17.4,12.8,5.6,6.0,6.5,4.6,2.8,3.1,8535.047,9555.244,10026.974,8977.437,9567.129,10807.795
